Brand,Category,Trustpilot_Score,Restocking_Fee,Return_Window,Fit_Complexity_Score,SOVEREIGN_RISK_SCORE
True & Co,Lingerie,2.3,True,14,0.9,75
Cosabella,Lingerie,3.0,True,30,0.9,71
ThirdLove,Lingerie,2.7,True,365,0.9,75
Allbirds,Footwear,3.5,True,30,0.9,58
Converse,Footwear,3.2,True,30,0.9,63
Skechers,Footwear,3.3,False,30,0.9,70
Adore Me,Lingerie,3.1,False,14,0.9,74
AG Jeans,Jeans,4.4,False,14,0.9,55
Madewell,Jeans,3.5,True,30,0.9,64
Everlane,Jeans,4.0,True,14,0.9,50
Wrangler,Jeans,3.5,False,60,0.9,73
J Brand,Jeans,3.0,True,60,0.9,65
Victoria's Secret,Lingerie,3.5,False,365,0.9,69
Rothy's,Footwear,3.9,True,14,0.9,51
7 For All Mankind,Jeans,4.0,True,30,0.9,50
Natori,Lingerie,3.1,True,365,0.9,70
Lively,Lingerie,3.9,False,365,0.9,67
Mother,Jeans,3.6,True,60,0.9,57
Wacoal,Lingerie,3.9,False,14,0.9,61
Parade,Lingerie,2.8,False,365,0.9,83
Brooks,Footwear,3.2,False,30,0.9,77
Adidas,Footwear,3.4,False,30,0.9,74
Pepper,Lingerie,3.3,False,60,0.9,71
Reebok,Footwear,3.1,False,30,0.9,79
Levi's,Jeans,4.2,True,60,0.9,52
DL1961,Jeans,3.3,True,30,0.9,66
Hudson,Jeans,2.4,False,30,0.9,90
Diesel,Jeans,3.5,False,60,0.9,68
Frame,Jeans,4.4,False,365,0.9,60
Yitty,Lingerie,2.6,True,365,0.9,72
Spanx,Lingerie,2.7,True,60,0.9,75
Paige,Jeans,3.4,False,30,0.9,69
Skims,Lingerie,3.4,True,30,0.9,59
Thinx,Lingerie,3.7,True,60,0.9,60
Crocs,Footwear,2.8,False,30,0.9,84
Aerie,Lingerie,2.1,False,365,0.9,94
Asics,Footwear,4.1,True,30,0.9,50
Knix,Lingerie,4.2,True,14,0.9,52
Hoka,Footwear,2.9,True,30,0.9,72
Savage X Fenty,Lingerie,3.4,True,60,0.9,60
Cuup,Lingerie,3.6,True,365,0.9,62
Vans,Footwear,4.6,False,365,0.9,56
Puma,Footwear,2.9,False,60,0.9,82
Nike,Footwear,3.3,False,365,0.9,77
Polywood,Furniture,2.8,True,365,0.4,53
True Religion,Jeans,2.9,True,365,0.9,72
Yardbird,Furniture,4.6,False,14,0.4,32
UGG,Footwear,4.6,True,14,0.9,42
Ruggable,Furniture,4.4,True,365,0.4,30
GhostBed,Mattress,3.5,False,365,0.4,54
West Elm,Furniture,4.3,False,365,0.4,35
Lee,Jeans,3.7,False,14,0.9,66
Good American,Jeans,2.5,False,14,0.9,88
